bno_deep_sleep,bno_light_sleep,feather_deep_sleep,feather_light_sleep
3.515547,3.508264,3.516206,3.644287
3.518444,3.508973,3.516463,3.644287
3.521023,3.509038,3.516335,3.644353
3.521604,3.509038,3.516142,3.644158
3.521541,3.508523,3.515948,3.643836
3.521731,3.509038,3.516078,3.644222
3.520313,3.508973,3.516078,3.644287
3.521347,3.509038,3.516142,3.644288
3.522311,3.508973,3.516014,3.644094
3.521862,3.509038,3.515883,3.644094
3.521088,3.508328,3.515364,3.644351
3.521539,3.509038,3.516335,3.644222
3.521410,3.509810,3.516528,3.644288
3.522119,3.508973,3.516399,3.643642
3.521281,3.509038,3.515560,3.644158
3.520831,3.509683,3.516009,3.644093
3.520961,3.509618,3.515108,3.644094
3.521089,3.508973,3.515365,3.644094
3.521089,3.508973,3.514134,3.644157
3.521152,3.509231,3.516006,3.644157
3.520574,3.510069,3.514588,3.644094
3.521218,3.508973,3.514524,3.643902
3.519289,3.509360,3.512393,3.644158
3.520575,3.510906,3.515362,3.644031
3.519994,3.509681,3.513038,3.644030
3.519351,3.510970,3.514330,3.643902
3.519995,3.513226,3.512134,3.643707
3.518193,3.510648,3.511554,3.643709
3.518965,3.510003,3.512778,3.643771
3.518966,3.513936,3.512329,3.643966
3.519802,3.514321,3.512388,3.643902
3.517938,3.515289,3.511683,3.643966
3.517875,3.511357,3.511682,3.643838
3.517488,3.514258,3.512521,3.643451
3.518775,3.513033,3.512005,3.643197
3.516591,3.515933,3.511876,3.643774
3.517165,3.517672,3.512199,3.643774
3.518647,3.514193,3.511811,3.642234
3.518451,3.513803,3.511554,3.643517
3.517552,3.512902,3.511619,3.643324
3.516720,3.512968,3.511489,3.643325
3.517361,3.515676,3.511359,3.642299
3.516527,3.517866,3.511489,3.641655
3.516912,3.519670,3.512907,3.640819
3.516527,3.514518,3.511683,3.640947
3.516783,3.515159,3.511683,3.642300
3.516720,3.515545,3.511683,3.641398
3.516720,3.517222,3.511297,3.641011
3.516335,3.520508,3.511941,3.639144
3.516272,3.516447,3.511682,3.640754
3.516207,3.520057,3.511359,3.638948
3.516399,3.518832,3.511747,3.640107
3.516398,3.520444,3.511296,3.639529
3.516658,3.520379,3.512004,3.639531
3.516398,3.521345,3.511294,3.638498
3.516528,3.521731,3.511425,3.638690
