2024-10-07 00:20:18,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17285,-0.48975,3.89307,0.75732,1.30078,-2.36328,9.58984,True,False,3.69719,0.19658
2024-10-07 00:20:19,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17212,-0.48853,3.89258,0.76099,1.30078,-2.36328,9.66797,True,False,3.69719,0.19336
2024-10-07 00:20:21,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17700,-0.48950,3.89819,0.72974,1.30078,-2.17188,9.70313,True,False,3.70686,0.19336
2024-10-07 00:20:22,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17578,-0.49756,3.89355,0.74976,1.33594,-2.28516,9.66797,True,False,3.69719,0.19336
2024-10-07 00:20:23,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17358,-0.48022,3.89746,0.74072,1.30078,-2.28516,9.66797,True,False,3.69719,0.19336
2024-10-07 00:20:24,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17749,-0.49121,3.89746,0.73315,1.33594,-2.28516,9.70703,True,False,3.69719,0.19336
2024-10-07 00:20:26,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17749,-0.49756,3.89526,0.74072,1.33594,-2.28516,9.66797,True,False,3.73596,0.19014
2024-10-07 00:20:27,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17651,-0.48218,3.90039,0.72363,1.30078,-2.36328,9.66797,True,False,3.69719,0.19014
2024-10-07 00:20:28,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17554,-0.47754,3.90088,0.72461,1.30078,-2.21094,9.74609,True,False,3.69075,0.19014
2024-10-07 00:20:30,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17456,-0.47412,3.90088,0.72681,1.33594,-2.28516,9.66797,True,False,3.69719,0.19014
