Timestamp,activity_classification,stability_classification,shake_detection,step_count,acc_x,acc_y,acc_z,tilt_up,tilt_forward,vbat_voltage,usb_voltage
2024-11-06 11:04:02,{'Running': 2; 'Unknown': 2; 'Tilting': 0; 'On-Foot': 4; 'In-Vehicle': 2; 'Still': 92; 'Walking': 2; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.32813,9.73438,True,True,3.65530,0.18691
2024-11-06 11:04:03,{'Running': 2; 'Unknown': 2; 'Tilting': 0; 'On-Foot': 4; 'In-Vehicle': 2; 'Still': 92; 'Walking': 2; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.32813,9.77344,True,True,3.65530,0.18691
2024-11-06 11:04:04,{'Running': 2; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 4; 'In-Vehicle': 2; 'Still': 93; 'Walking': 2; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.28906,9.73828,True,True,3.65852,0.18691
2024-11-06 11:04:05,{'Running': 2; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 4; 'In-Vehicle': 2; 'Still': 93; 'Walking': 2; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.32813,9.77734,True,True,3.66819,0.18691
2024-11-06 11:04:05,{'Running': 2; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 4; 'In-Vehicle': 2; 'Still': 93; 'Walking': 2; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.12109,-0.32813,9.73438,True,True,3.64563,0.18691
2024-11-06 11:04:06,{'Running': 2; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 4; 'In-Vehicle': 2; 'Still': 93; 'Walking': 2; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.36719,9.77734,True,True,3.65852,0.18691
2024-11-06 11:04:07,{'Running': 2; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 3; 'In-Vehicle': 2; 'Still': 94; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.28906,9.73438,True,True,3.64241,0.18691
2024-11-06 11:04:08,{'Running': 2; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 3; 'In-Vehicle': 2; 'Still': 94; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.28906,9.77734,True,True,3.67786,0.18691
2024-11-06 11:04:08,{'Running': 2; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 3; 'In-Vehicle': 2; 'Still': 94; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.32813,9.73438,True,True,3.65852,0.18691
2024-11-06 11:04:09,{'Running': 2; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 3; 'In-Vehicle': 2; 'Still': 94; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.32813,9.73438,True,True,3.64885,0.18691
2024-11-06 11:04:10,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 2; 'Still': 95; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.32813,9.77344,True,True,3.64885,0.18691
2024-11-06 11:04:11,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 2; 'Still': 95; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.32813,9.73438,True,True,3.66496,0.18691
2024-11-06 11:04:11,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 2; 'Still': 95; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.36719,9.73828,True,True,3.64563,0.18369
2024-11-06 11:04:12,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 2; 'Still': 95; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.36719,9.69922,True,True,3.64885,0.18369
2024-11-06 11:04:13,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 1; 'Still': 96; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.25000,9.77344,True,True,3.64241,0.18369
2024-11-06 11:04:14,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 1; 'Still': 96; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.12109,-0.28906,9.77344,True,True,3.64563,0.18369
2024-11-06 11:04:14,{'Running': 1; 'Unknown': 1; 'Tilting': 0; 'On-Foot': 2; 'In-Vehicle': 1; 'Still': 96; 'Walking': 1; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.32813,9.73438,True,True,3.68430,0.18369
